Weight,Height,BMI,Age,BMIcase,Exercise Intensity,Gym Exercise,Home Exercise,BMIcase_encoded
98.10584309,1.81258862,29.86045194,25,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
64.41526446,1.527752223,27.59833904,46,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
103.6151997,1.747788321,33.91921574,22,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
55.70775931,1.524309119,23.97560611,43,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
62.67910155,1.603190124,24.38668142,26,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
60.93491258,1.656871886,22.19669603,28,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
53.64549895,1.591138083,21.18934579,60,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
103.238323,1.741086075,34.05653478,30,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
94.28907618,1.817245734,28.5518376,26,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
72.23080587,1.548104676,30.13851263,35,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
103.2304313,1.819799105,31.17172581,23,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
81.98782248,1.695779368,28.51088235,22,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
77.33767072,1.543411558,32.46591082,52,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
53.81163878,1.501515177,23.86804049,64,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
101.0487003,1.773905756,32.1121694,43,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
90.66605755,1.741318603,29.90117483,30,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
81.42095718,1.612328119,31.32054767,48,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
69.10146245,1.735028146,22.95483577,41,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
69.06224825,1.631689797,25.93973389,63,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
62.25778338,1.672479202,22.25728579,46,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
57.54931114,1.655223512,21.00520073,33,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
95.23364364,1.689278476,33.3724356,52,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
61.94948364,1.408163182,31.24148871,39,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
109.0883075,1.792401169,33.95531523,48,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
104.582869,1.784904218,32.82696409,19,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
70.97886379,1.474408713,32.65075782,19,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
102.8114631,1.80877819,31.42468363,56,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
89.55922741,1.72329593,30.15717206,43,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
58.62078486,1.813748107,17.81958906,62,mild thinness,3,Squat with Dumbbells; Leg Curl Machine; Shoulder Press Machine,Step-ups on Chair; Wall Sit Hold; Dumbbell Bent-over Rows,0
99.15328958,1.726631299,33.25890213,46,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
57.03999531,1.504400968,25.20300194,65,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
54.76069912,1.73586501,18.17343767,29,mild thinness,3,Squat with Dumbbells; Leg Curl Machine; Shoulder Press Machine,Step-ups on Chair; Wall Sit Hold; Dumbbell Bent-over Rows,0
94.0913305,1.79509647,29.19940649,33,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
85.33236205,1.777648941,27.00360647,44,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
74.68167122,1.733518631,24.85175141,23,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
100.6633255,1.77933828,31.79466323,53,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
65.42046618,1.583795207,26.08048036,55,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
101.1105478,1.781174969,31.87009048,47,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
52.95357847,1.557276013,21.8355495,57,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
64.47872543,1.768040172,20.62681566,40,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
106.6594209,1.808706112,32.60342378,38,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
77.12174876,1.489695664,34.75215666,30,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
73.17954951,1.548353677,30.52455857,23,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
59.17525959,1.579685438,23.71367931,56,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
55.35357184,1.594368212,21.77551305,38,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
85.87006386,1.738376342,28.41542657,57,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
97.65304411,1.828756462,29.19940746,65,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
85.32963021,1.809096529,26.0721222,63,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
99.60377511,1.814450377,30.25419547,50,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
91.69115973,1.789559587,28.63090911,61,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
109.9572797,1.797210199,34.04287563,51,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
63.3440658,1.6845087,22.32335261,61,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
67.96960016,1.451842654,32.24598238,50,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
102.2104886,1.777775871,32.34010679,19,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
88.05465901,1.753283354,28.64495343,56,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
99.41468296,1.820605016,29.99294159,54,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
99.89795728,1.699341697,34.59355386,39,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
67.41063266,1.613090112,25.90664327,52,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
71.84565697,1.59340573,28.29748061,30,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
52.47743869,1.5347579,22.27885541,64,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
103.6031548,1.821776557,31.21639603,62,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
87.00669211,1.587462292,34.52596464,21,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
106.8008396,1.762976052,34.36226962,26,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
79.16622349,1.597992864,31.00203891,24,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
79.91032361,1.514065715,34.85888075,65,obese,6,Elliptical Machine; Cable Rows; Leg Curl Machine,Seated Marching (Low Impact); Chair Squats; Standing Arm Circles,3
60.04560308,1.771142189,19.14142891,25,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
74.85330781,1.798033011,23.15344801,64,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
87.33902712,1.686037149,30.72373929,39,severe obese,7,Swimming / Aqua Aerobics; Seated Elliptical Machine; Leg Extension Machine,Seated Leg Lifts; Wall Push-ups; Side Leg Raises,6
61.51457436,1.53631783,26.06248856,59,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
81.68942174,1.657833505,29.72240837,58,over weight,5,Cycling Machine; Leg Press Machine; Seated Row Machine,Jumping Jacks; Seated Leg Raises; Low-Impact Step-ups,4
64.43763152,1.649638561,23.67892431,22,normal,4,Treadmill (Incline Walk/Run); Leg Press Machine; Lat Pulldown Machine,Jump Rope; Mountain Climbers; Bodyweight Squats,2
